Source,Name,IndexCategory,VarType,Description,Units,In_DPLACE
AnnualMeanTemperature,Annual Mean Temperature,Climate,Continuous,Mean value of monthly temperature across the year,°C,yes
AnnualTemperatureVariance,Annual Temperature Variance,Climate,Continuous,Variance in temperature means (averaged across years),°C,yes
TemperatureConstancy,Temperature Constancy,Climate,Continuous,Colwell's (1974) information theoretic index. Indicates the extent to which a climate patterns are predictable because conditions are constant. Varies between 0 (completely unpredictable) and 1 (fully predictable).,,yes
TemperatureContingency,Temperature Contingency,Climate,Continuous,Colwell's (1974) information theoretic index. Indicates the extent to which a climate patterns are predictable because conditions oscillate in a very predictable manner.  Varies between 0 (completely unpredictable) and 1 (fully predictable).,,yes
TemperaturePredictability,Temperature Predictability,Climate,Continuous,Colwell's (1974) information theoretic index. Indicates the extent to which a climate patterns are predictable due to either constancy or contingency.  Varies between 0 (completely unpredictable) and 1 (fully predictable).,,yes
MonthlyMeanPrecipitation,Monthly Mean Precipitation,Climate,Continuous,Mean value of monthly precipitation across the year,mm,yes
MonthlyPrecipitationVariance,Monthly Precipitation Variance,Climate,Continuous,Variance in monthly precipitation means (averaged across years),mm,yes
PrecipitationConstancy,Precipitation Constancy,Climate,Continuous,Colwell's (1974) information theoretic index. Indicates the extent to which a climate patterns are predictable because conditions are constant. Varies between 0 (completely unpredictable) and 1 (fully predictable).,,yes
PrecipitationContingency,Precipitation Contingency,Climate,Continuous,Colwell's (1974) information theoretic index. Indicates the extent to which a climate patterns are predictable because conditions oscillate in a very predictable manner.  Varies between 0 (completely unpredictable) and 1 (fully predictable).,,yes
PrecipitationPredictability,Precipitation Predictability,Climate,Continuous,Colwell's (1974) information theoretic index. Indicates the extent to which a climate patterns are predictable due to either constancy or contingency.  Varies between 0 (completely unpredictable) and 1 (fully predictable).,,yes
BirdRichness,Bird Richness,Ecology,Continuous,Number of coexisting bird species.,,yes
MammalRichness,Mammal Richness,Ecology,Continuous,Number of coexisting mammal species.,,yes
AmphibianRichness,Amphibian Richness,Ecology,Continuous,Number of coexisting amphibian species.,,yes
VascularPlantsRichness,Vascular Plants Richness,Ecology,Continuous,Number of coexisting vascular plant species.,,yes
Elevation,Elevation,Physical Landscape,Continuous,Meters above sea level,masl,yes
Slope,Slope,Physical Landscape,Continuous,Mean incline (in degrees) in the terrain (unit of sample 0.5 by 0.5 degree cell),degrees,yes
Coastal,Coastal,Physical Landscape,Categorical,Location is <50 km from a major waterbody,,no
NetPrimaryProduction,Net Primary Production,Ecology,Continuous,Net primary production per year (grams of carbon uptake per square meter of land per day),gC m-2 day-1,yes
DurationOfGrowingSeason,Duration Of Growing Season,"Climate, Ecology",Continuous,Mean number of months in the year that net primary production is positive,mo,yes
MeanGrowingSeasonNPP,Mean Growing Season NPP,Ecology,Continuous,Mean net primary production during growing seaso (variance in grams of carbon uptake per square meter of land per day of growing season),gC m-2 day-1,yes
InterYearVarianceGrowingSeasonNPP,Inter-Year Variance Growing Season NPP,Ecology,Continuous,Variance among years in NPP for the growing season,gC m-2 day-1,yes
EcoRegion,EcoRegion,Ecology,Categorical,"Classification by Olson et al. (2001) of the earth into large units or “ecoregions” containing geographically distinct assemblages of species, natural communities, and environmental conditions.",,no
